"Reference","Value","Footprint","Qty","DNP","Description","Manufacturer","Manufacturer PN","Distributor Link"
"C1,C2,C3,C8,C16","4u7","Resistor_SMD:R_0603_1608Metric","5","","Unpolarized capacitor","Murata Electronics","GRM188Z71A475KE15J","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM188Z71A475KE15J?qs=Ey7%2FXF42M3fe52ZB0l7gLw%3D%3D"
"C4,C5,C6,C7,C9,C10,C11,C12,C15,C19","100n","Capacitor_SMD:C_0402_1005Metric","10","","Unpolarized capacitor","Murata Electronics","GRM155R71A104KA01J","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R71A104KA01J?qs=9U7yHM2lsjQpBoriOS9Iag%3D%3D"
"C13,C14","10p","Resistor_SMD:R_0402_1005Metric","2","","Unpolarized capacitor"," KYOCERA AVX","04026D100JAT2A","https://www.mouser.com/ProductDetail/KYOCERA-AVX/04026D100JAT2A?qs=gEbkM7q0lx%252BmQLS7sqmBjQ%3D%3D"
"C17","0p8","Resistor_SMD:R_0402_1005Metric","1","","Unpolarized capacitor","Murata Electronics ","GRM1555C1HR80BA01D","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1HR80BA01D?qs=e%252BE4OD6MgMezPYPintwvrA%3D%3D"
"C18","0p3","Resistor_SMD:R_0402_1005Metric","1","","Unpolarized capacitor","Murata Electronics","GRM1555C1HR30WA01D","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1HR30WA01D?qs=e%252BE4OD6MgMcS%252BbE0ktTutg%3D%3D"
"D1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1","","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","STMicroelectronics"," USBLC6-2SC6","https://www.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D"
"D2,D3","LED","LED_SMD:LED_0402_1005Metric","2","","Light emitting diode","Kingbright","APHHS1005LQBC/D-V","https://www.mouser.com/ProductDetail/Kingbright/APHHS1005LQBC-D-V?qs=WbpYJYa8y32aFVn6IIj1Dg%3D%3D"
"FLT1","DLF162500LT-5028A1","Bluephil_PCBFootprints:DLF162500LT-5028A1","1","","Signal Conditioning LTCC LOW PASS FLTR 2400-2500MHz ","TDK","DLF162500LT-5028A1","https://www.mouser.com/ProductDetail/TDK/DLF162500LT-5028A1?qs=U%2FZX79kHR%2FlwIbAISCs3qA%3D%3D"
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","","USB 2.0-only 16P Type-C Receptacle connector","GCT","USB4105-GF-A ","https://www.mouser.com/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D"
"J3","Conn_01x04","Connector_Molex:Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal","1","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Molex","53048-0410","https://www.mouser.com/ProductDetail/Molex/53048-0410?qs=359VwiUTsp2msj5Tobchuw%3D%3D"
"J4","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","1","","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","Hirose Connector","U.FL-R-SMT-1(10) ","https://www.mouser.com/ProductDetail/Hirose-Connector/U.FL-R-SMT-110?qs=kL1ClTr6oBoOdtqlGQpQrQ%3D%3D"
"L1","10n","Inductor_SMD:L_0402_1005Metric","1","","Inductor","Murata Electronics","LQG15WZ10NJ02D","https://www.mouser.com/ProductDetail/Murata-Electronics/LQG15WZ10NJ02D?qs=60uY6ySkanT1eJ7IaeAl%2Fg%3D%3D"
"L2","10u","Inductor_SMD:L_0805_2012Metric","1","","Inductor","Murata Electronics","LQM21FN100M70L","https://www.mouser.com/ProductDetail/Murata-Electronics/LQM21FN100M70L?qs=8M15sSGRUn%252BogwBrvQUwLA%3D%3D"
"L3","2n7","Inductor_SMD:L_0402_1005Metric","1","","Inductor","Murata Electronics","LQG15HS2N7S02D","https://www.mouser.com/ProductDetail/Murata-Electronics/LQG15HS2N7S02D?qs=ctz47l0uL1AKrLI74yO5Qw%3D%3D"
"R1,R2,R7","5k1","Resistor_SMD:R_0402_1005Metric","3","","Resistor","KOA Speer","SG73P1EWTTP512J","https://www.mouser.com/ProductDetail/KOA-Speer/SG73P1EWTTP512J?qs=Jslch3jnSjlSuuKTSTqkRg%3D%3D"
"R3,R4,R5,R6,R8","220R","Resistor_SMD:R_0402_1005Metric","5","","Resistor","KOA Speer","RK73H1ETTP2200F","https://www.mouser.com/ProductDetail/KOA-Speer/RK73H1ETTP2200F?qs=RHoMK1iCi09D%2FnGG1bjdHg%3D%3D"
"SW1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","1","","Push button switch, generic, two pins","C&K","KMR231NGLFS ","https://www.mouser.com/ProductDetail/CK/KMR231NGLFS?qs=sb%252But3Lm4x1Y5NsXXdZx2g%3D%3D"
"U1","MIC5365-3.3YD5","Package_TO_SOT_SMD:SOT-23-5","1","","150mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23-5","Microchip Technology","MIC5365-3.3YD5-TR","https://www.mouser.com/ProductDetail/Microchip-Technology/MIC5365-3.3YD5-TR?qs=U6T8BxXiZAXzRinbbfZRrg%3D%3D"
"U2","STM32WB55CEU6","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1","","STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 256KB RAM, 64 MHz, 1.71-3.6V, 30 GPIO, UFQFPN48","STMicroelectronics","STM32WB55CEU6","https://www.mouser.com/ProductDetail/STMicroelectronics/STM32WB55CEU6?qs=l7cgNqFNU1h38DnIgipayw%3D%3D"
"X1","32k768","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","1","","Two pin crystal","NDK","NX2012SA-32.768K-STD-MUB-1 ","https://www.mouser.com/ProductDetail/NDK/NX2012SA-32.768K-STD-MUB-1?qs=55YtniHzbhA%252B6%2Fl1MwFZaQ%3D%3D"
"X2","32M","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","1","","Four pin crystal, GND on pins 2 and 4","NDK","NX2016SA-32M-EXS00A-CS06465","https://www.mouser.com/ProductDetail/NDK/NX2016SA-32M-EXS00A-CS06465?qs=w%2Fv1CP2dgqr82b0JjRnv4A%3D%3D"
