### Footprint positions - created on 2024-04-24T20:47:46-0400 ###
### Printed by KiCad version 8.0.1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
C1        4u7                          R_0603_1608Metric                                           9.3000    14.7500  -90.0000  top
C2        4u7                          R_0603_1608Metric                                          26.7000     9.6750  -90.0000  top
C3        4u7                          R_0603_1608Metric                                          15.6250    14.2000  -90.0000  top
C4        100n                         C_0402_1005Metric                                          17.5000    19.2500  180.0000  top
C5        100n                         C_0402_1005Metric                                          26.0000    14.5000  -90.0000  top
C6        100n                         C_0402_1005Metric                                          15.7250    16.2000  180.0000  top
C7        100n                         C_0402_1005Metric                                          16.5000    11.2500  -90.0000  top
C8        4u7                          R_0603_1608Metric                                          17.7500    21.2500   90.0000  top
C9        100n                         C_0402_1005Metric                                          16.2500     9.7500  180.0000  top
C10       100n                         C_0402_1005Metric                                          19.0000    19.7500   90.0000  top
C11       100n                         C_0402_1005Metric                                          22.5500     9.2500  -90.0000  top
C12       100n                         C_0402_1005Metric                                          26.1500    17.0000  -90.0000  top
C13       10p                          R_0402_1005Metric                                          20.2500     8.7450    0.0000  top
C14       10p                          R_0402_1005Metric                                          18.2500     8.7450  180.0000  top
C15       100n                         C_0402_1005Metric                                          21.6500     7.2000  -90.0000  top
C16       4u7                          R_0603_1608Metric                                          22.0000    19.5000    0.0000  top
C17       0p8                          R_0402_1005Metric                                          27.2000    15.2600  -90.0000  top
C18       0p3                          R_0402_1005Metric                                          30.2000    15.2400  -90.0000  top
C19       100n                         C_0402_1005Metric                                          16.2700     8.7500  180.0000  top
D1        USBLC6-2SC6                  SOT-23-6                                                   10.9000    19.0000    0.0000  top
D2        LED                          LED_0402_1005Metric                                         9.7350    23.5000    0.0000  top
D3        LED                          LED_0402_1005Metric                                        28.2650     6.6250    0.0000  top
FLT1      DLF162500LT-5028A1           DLF162500LT-5028A1                                         32.0125    15.7500    0.0000  top
FM1       Fiducial                     Fiducial_1mm_Mask2mm                                        7.0000    27.0000    0.0000  top
FM2       Fiducial                     Fiducial_1mm_Mask2mm                                       31.0000    27.0000    0.0000  top
FM3       Fiducial                     Fiducial_1mm_Mask2mm                                       31.0000     3.0000    0.0000  top
J1        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal     3.3200    19.0080  -90.0000  top
J3        Conn_01x04                   Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal          4.7000    11.3750  -90.0000  top
J4        Conn_Coaxial                 U.FL_Hirose_U.FL-R-SMT-1_Vertical                          35.0000    15.7500    0.0000  top
L1        10n                          L_0402_1005Metric                                          20.0000    19.7350   90.0000  top
L2        10u                          L_0805_2012Metric                                          21.0000    21.7500    0.0000  top
L3        2n7                          L_0402_1005Metric                                          28.7150    15.7500    0.0000  top
R1        5k1                          R_0402_1005Metric                                           9.2500    16.7500    0.0000  top
R2        5k1                          R_0402_1005Metric                                           8.8200    21.7600   90.0000  top
R3        220R                         R_0402_1005Metric                                          10.0000    21.7500   90.0000  top
R4        220R                         R_0402_1005Metric                                          24.1250     9.2750   90.0000  top
R5        220R                         R_0402_1005Metric                                          25.1250     9.2750   90.0000  top
R6        220R                         R_0402_1005Metric                                          25.9750     6.6250    0.0000  top
R7        5k1                          R_0402_1005Metric                                          16.2300     6.6300  180.0000  top
R8        220R                         R_0402_1005Metric                                          16.2325     7.6800  180.0000  top
SW1       SW_Push                      SW_Push_1P1T_NO_CK_KMR2                                    14.0000    22.5000  180.0000  top
U1        MIC5365-3.3YD5               SOT-23-5                                                   12.7125    14.9500    0.0000  top
U2        STM32WB55CEUx                QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        21.2500    14.4375   90.0000  top
X1        32k768                       Crystal_SMD_2012-2Pin_2.0x1.2mm                            19.2500     7.2450  180.0000  top
X2        32M                          Crystal_SMD_2016-4Pin_2.0x1.6mm                            26.9500    20.0000   90.0000  top
## End
